type,lat,lng,source,active,directionality,reportedHeadingDeg,userBearing,createdAt,updatedAt,speedLimitKph,zoneLengthMeters,zoneStartLat,zoneStartLng,zoneEndLat,zoneEndLng,id,votes,votesCount
SPEED_LIMIT_ZONE,-1.2509914,36.6865465,SEED,true,BIDIRECTIONAL,0.0,,2025-09-09T05:45:57.771644Z,,50,129,-1.24984412,36.68492717,-1.25052111,36.68587849,1757409863199,0,0
RUMBLE_STRIP,-1.2516454,36.68747677,SEED,true,BIDIRECTIONAL,0.0,,2025-09-09T05:46:02.964760Z,,,,,,,,1757409863205,0,0
RUMBLE_STRIP,-1.25731268,36.69962138,SEED,true,ONE_WAY,0.0,,2025-09-09T05:47:12.831424Z,,,,,,,,1757409863221,0,0
RUMBLE_STRIP,-1.25743948,36.69997913,SEED,true,ONE_WAY,0.0,,2025-09-09T05:47:20.806134Z,,,,,,,,1757409863234,0,0
SPEED_BUMP,-1.2575425,36.70025508,SEED,true,ONE_WAY,0.0,,2025-09-09T05:47:28.491605Z,,,,,,,,1757409863243,0,0
RUMBLE_STRIP,-1.25765779,36.7005891,SEED,true,ONE_WAY,0.0,,2025-09-09T05:47:39.901884Z,,,,,,,,1757409863259,0,0
RUMBLE_STRIP,-1.25813379,36.70204,SEED,true,ONE_WAY,0.0,,2025-09-09T05:48:02.375773Z,,,,,,,,1757409863267,0,0
RUMBLE_STRIP,-1.2582955,36.7024837,SEED,true,ONE_WAY,0.0,,2025-09-09T05:48:07.352725Z,,,,,,,,1757409863272,0,0
SPEED_BUMP,-1.25840059,36.70278103,SEED,true,ONE_WAY,0.0,,2025-09-09T05:48:14.045817Z,,,,,,,,1757409863278,0,0
RUMBLE_STRIP,-1.26003607,36.7093749,SEED,true,ONE_WAY,0.0,,2025-09-09T05:49:02.984888Z,,,,,,,,1757409863287,0,0
SPEED_BUMP,-1.26013456,36.70996685,SEED,true,ONE_WAY,0.0,,2025-09-09T05:49:17.606682Z,,,,,,,,1757409863292,0,0
RUMBLE_STRIP,-1.26021017,36.71031476,SEED,true,ONE_WAY,0.0,,2025-09-09T05:49:25.473291Z,,,,,,,,1757409863298,0,0
RUMBLE_STRIP,-1.26019416,36.71831713,SEED,true,ONE_WAY,0.0,,2025-09-09T05:50:14.201816Z,,,,,,,,1757409863303,0,0
RUMBLE_STRIP,-1.26007492,36.71903543,SEED,true,ONE_WAY,0.0,,2025-09-09T05:50:21.068481Z,,,,,,,,1757409863309,0,0
RUMBLE_STRIP,-1.26253747,36.72746658,SEED,true,ONE_WAY,0.0,,2025-09-09T05:51:11.725876Z,,,,,,,,1757409863317,0,0
SPEED_BUMP,-1.26277411,36.72788221,SEED,true,ONE_WAY,0.0,,2025-09-09T05:51:15.356682Z,,,,,,,,1757409863326,0,0
RUMBLE_STRIP,-1.26404897,36.7322819,SEED,true,ONE_WAY,0.0,,2025-09-09T05:51:52.033023Z,,,,,,,,1757409863336,0,0
SPEED_BUMP,-1.26408689,36.73250583,SEED,true,ONE_WAY,0.0,,2025-09-09T05:52:00.425578Z,,,,,,,,1757409863344,0,0
RUMBLE_STRIP,-1.26440093,36.73593538,SEED,true,ONE_WAY,0.0,,2025-09-09T05:52:33.120170Z,,,,,,,,1757409863353,0,0
SPEED_BUMP,-1.26441351,36.73618333,SEED,true,ONE_WAY,0.0,,2025-09-09T05:52:41.431559Z,,,,,,,,1757409863361,0,0
RUMBLE_STRIP,-1.26435996,36.73971535,SEED,true,ONE_WAY,0.0,,2025-09-09T05:53:15.521967Z,,,,,,,,1757409863370,0,0
SPEED_BUMP,-1.26434992,36.73991024,SEED,true,ONE_WAY,0.0,,2025-09-09T05:53:22.550487Z,,,,,,,,1757409863379,0,0
RUMBLE_STRIP,-1.26415752,36.74786915,SEED,true,ONE_WAY,0.0,,2025-09-09T05:54:33.126094Z,,,,,,,,1757409863390,0,0
RUMBLE_STRIP,-1.26414572,36.74818496,SEED,true,ONE_WAY,0.0,,2025-09-09T05:54:40.595208Z,,,,,,,,1757409863399,0,0
SPEED_BUMP,-1.26412034,36.74844428,SEED,true,ONE_WAY,0.0,,2025-09-09T05:54:48.485644Z,,,,,,,,1757409863408,0,0
RUMBLE_STRIP,-1.26407207,36.74871462,SEED,true,ONE_WAY,0.0,,2025-09-09T05:54:54.835641Z,,,,,,,,1757409863417,0,0
RUMBLE_STRIP,-1.26377173,36.75722611,SEED,true,ONE_WAY,0.0,,2025-09-09T05:55:49.596247Z,,,,,,,,1757409863425,0,0
RUMBLE_STRIP,-1.26372249,36.75768597,SEED,true,ONE_WAY,0.0,,2025-09-09T05:56:00.179823Z,,,,,,,,1757409863435,0,0
SPEED_BUMP,-1.26369994,36.75796089,SEED,true,ONE_WAY,0.0,,2025-09-09T05:56:06.135160Z,,,,,,,,1757409863444,0,0
RUMBLE_STRIP,-1.2636786,36.75818595,SEED,true,ONE_WAY,0.0,,2025-09-09T05:56:12.335649Z,,,,,,,,1757409863457,0,0
RUMBLE_STRIP,-1.26348285,36.76041634,SEED,true,ONE_WAY,0.0,,2025-09-09T05:56:34.566361Z,,,,,,,,1757409863469,0,0
SPEED_BUMP,-1.26337763,36.76103574,SEED,true,ONE_WAY,0.0,,2025-09-09T05:56:38.864333Z,,,,,,,,1757409863478,0,0
RUMBLE_STRIP,-1.26299321,36.76354254,SEED,true,ONE_WAY,0.0,,2025-09-09T05:57:01.517663Z,,,,,,,,1757409863488,0,0
SPEED_BUMP,-1.26297775,36.76362115,SEED,true,ONE_WAY,0.0,,2025-09-09T05:57:03.621039Z,,,,,,,,1757409863497,0,0
RUMBLE_STRIP,-1.26041231,36.7691929,SEED,true,BIDIRECTIONAL,0.0,,2025-09-09T05:57:42.656762Z,,,,,,,,1757409863507,0,0
RUMBLE_STRIP,-1.26034406,36.76949399,SEED,true,ONE_WAY,0.0,,2025-09-09T05:57:44.630572Z,,,,,,,,1757409863516,0,0
SPEED_BUMP,-1.2601948,36.77023828,SEED,true,ONE_WAY,0.0,,2025-09-09T05:57:51.578383Z,,,,,,,,1757409863526,0,0
SPEED_BUMP,-1.25988388,36.79133063,SEED,true,ONE_WAY,0.0,,2025-09-09T06:03:34.918056Z,,,,,,,,1757409863537,0,0
SPEED_BUMP,-1.25937075,36.79031252,SEED,true,BIDIRECTIONAL,0.0,,2025-09-09T06:03:52.053254Z,,,,,,,,1757409863547,0,0
SPEED_BUMP,-1.2589721811851489,36.7894846200943,SEED,true,BIDIRECTIONAL,0.0,,2025-09-09T06:04:04.037363Z,,,,,,,,1757409863557,0,0
